SITE_NAME,CLASS,TP,FP,FN,TN,F1,Precision,Recall,Accuracy
OVERALL,SAFE,828,66,68,85,0.925,0.9261744966442953,0.9241071428571429,0.8720152817574021
OVERALL,PRECAUTIONARY,7,66,44,930,0.113,0.0958904109589041,0.13725490196078433,0.894937917860554
OVERALL,EXCEEDANCE,46,34,54,913,0.511,0.575,0.46,0.9159503342884432
Akaroa at main beach,SAFE,58,4,5,6,0.928,0.9354838709677419,0.9206349206349206,0.8767123287671232
Akaroa at main beach,PRECAUTIONARY,1,6,3,63,0.182,0.14285714285714285,0.25,0.8767123287671232
Akaroa at main beach,EXCEEDANCE,2,2,4,65,0.4,0.5,0.3333333333333333,0.9178082191780822
Cass Bay at boat ramp,SAFE,58,10,5,1,0.885,0.8529411764705882,0.9206349206349206,0.7972972972972973
Cass Bay at boat ramp,PRECAUTIONARY,0,3,7,64,0.0,0.0,0.0,0.8648648648648649
Cass Bay at boat ramp,EXCEEDANCE,1,2,3,68,0.286,0.3333333333333333,0.25,0.9324324324324325
Charteris Bay Paradise Beach,SAFE,51,1,3,2,0.962,0.9807692307692307,0.9444444444444444,0.9298245614035088
Charteris Bay Paradise Beach,PRECAUTIONARY,0,3,0,54,0.0,0.0,0.0,0.9473684210526315
Charteris Bay Paradise Beach,EXCEEDANCE,1,1,2,53,0.4,0.5,0.3333333333333333,0.9473684210526315
Church Bay Beach,SAFE,49,3,3,4,0.942,0.9423076923076923,0.9423076923076923,0.8983050847457628
Church Bay Beach,PRECAUTIONARY,0,4,3,52,0.0,0.0,0.0,0.8813559322033898
Church Bay Beach,EXCEEDANCE,2,1,2,54,0.571,0.6666666666666666,0.5,0.9491525423728814
Corsair Bay Beach,SAFE,63,6,6,10,0.913,0.9130434782608695,0.9130434782608695,0.8588235294117647
Corsair Bay Beach,PRECAUTIONARY,1,4,2,78,0.25,0.2,0.3333333333333333,0.9294117647058824
Corsair Bay Beach,EXCEEDANCE,8,3,5,69,0.667,0.7272727272727273,0.6153846153846154,0.9058823529411765
Diamond Harbour Beach,SAFE,54,3,4,10,0.939,0.9473684210526315,0.9310344827586207,0.9014084507042254
Diamond Harbour Beach,PRECAUTIONARY,1,3,3,64,0.25,0.25,0.25,0.9154929577464789
Diamond Harbour Beach,EXCEEDANCE,7,3,2,59,0.737,0.7,0.7777777777777778,0.9295774647887324
Duvauchelle Bay by camping ground,SAFE,61,4,1,7,0.961,0.9384615384615385,0.9838709677419355,0.9315068493150684
Duvauchelle Bay by camping ground,PRECAUTIONARY,0,2,3,68,0.0,0.0,0.0,0.9315068493150684
Duvauchelle Bay by camping ground,EXCEEDANCE,3,3,5,62,0.429,0.5,0.375,0.8904109589041096
French Farm Bay,SAFE,49,1,1,3,0.98,0.98,0.98,0.9629629629629629
French Farm Bay,PRECAUTIONARY,1,0,2,51,0.5,1.0,0.3333333333333333,0.9629629629629629
French Farm Bay,EXCEEDANCE,1,2,0,51,0.5,0.3333333333333333,1.0,0.9629629629629629
Glen Bay boat ramp,SAFE,60,0,7,5,0.945,1.0,0.8955223880597015,0.9027777777777778
Glen Bay boat ramp,PRECAUTIONARY,0,6,2,64,0.0,0.0,0.0,0.8888888888888888
Glen Bay boat ramp,EXCEEDANCE,2,4,1,65,0.444,0.3333333333333333,0.6666666666666666,0.9305555555555556
Governors Bay Sandy Beach,SAFE,35,8,13,5,0.769,0.813953488372093,0.7291666666666666,0.6557377049180327
Governors Bay Sandy Beach,PRECAUTIONARY,1,12,1,47,0.133,0.07692307692307693,0.5,0.7868852459016393
Governors Bay Sandy Beach,EXCEEDANCE,4,1,7,49,0.5,0.8,0.36363636363636365,0.8688524590163934
Purau Bay Beach,SAFE,74,5,6,5,0.931,0.9367088607594937,0.925,0.8777777777777778
Purau Bay Beach,PRECAUTIONARY,0,9,0,81,0.0,0.0,0.0,0.9
Purau Bay Beach,EXCEEDANCE,1,1,9,79,0.167,0.5,0.1,0.8888888888888888
Rapaki Bay Beach,SAFE,58,7,6,9,0.899,0.8923076923076924,0.90625,0.8375
Rapaki Bay Beach,PRECAUTIONARY,1,4,5,70,0.182,0.2,0.16666666666666666,0.8875
Rapaki Bay Beach,EXCEEDANCE,6,4,4,66,0.6,0.6,0.6,0.9
Takamatua Bay Boat ramp,SAFE,47,4,2,2,0.94,0.9215686274509803,0.9591836734693877,0.8909090909090909
Takamatua Bay Boat ramp,PRECAUTIONARY,0,2,4,49,0.0,0.0,0.0,0.8909090909090909
Takamatua Bay Boat ramp,EXCEEDANCE,1,1,1,52,0.5,0.5,0.5,0.9636363636363636
Tikao Bay mid beach,SAFE,54,3,1,11,0.964,0.9473684210526315,0.9818181818181818,0.9420289855072463
Tikao Bay mid beach,PRECAUTIONARY,0,5,3,61,0.0,0.0,0.0,0.8840579710144928
Tikao Bay mid beach,EXCEEDANCE,5,2,6,56,0.556,0.7142857142857143,0.45454545454545453,0.8840579710144928
Wainui Beach Wainui Beach,SAFE,57,7,5,5,0.905,0.890625,0.9193548387096774,0.8378378378378378
Wainui Beach Wainui Beach,PRECAUTIONARY,1,3,6,64,0.182,0.25,0.14285714285714285,0.8783783783783784
Wainui Beach Wainui Beach,EXCEEDANCE,2,4,3,65,0.364,0.3333333333333333,0.4,0.9054054054054054
