SITE_NAME,CLASS,TP,FP,FN,TN,F1,Precision,Recall,Accuracy
OVERALL,SAFE,793,58,103,93,0.908,0.9318448883666275,0.8850446428571429,0.8462273161413563
OVERALL,PRECAUTIONARY,6,49,45,947,0.113,0.10909090909090909,0.11764705882352941,0.9102196752626552
OVERALL,EXCEEDANCE,65,76,35,871,0.539,0.46099290780141844,0.65,0.8939828080229226
Akaroa at main beach,SAFE,55,4,8,6,0.902,0.9322033898305084,0.873015873015873,0.8356164383561644
Akaroa at main beach,PRECAUTIONARY,0,2,4,67,0.0,0.0,0.0,0.9178082191780822
Akaroa at main beach,EXCEEDANCE,4,8,2,59,0.444,0.3333333333333333,0.6666666666666666,0.863013698630137
Cass Bay at boat ramp,SAFE,50,9,13,2,0.82,0.847457627118644,0.7936507936507936,0.7027027027027027
Cass Bay at boat ramp,PRECAUTIONARY,1,5,6,62,0.154,0.16666666666666666,0.14285714285714285,0.8513513513513513
Cass Bay at boat ramp,EXCEEDANCE,1,8,3,62,0.154,0.1111111111111111,0.25,0.8513513513513513
Charteris Bay Paradise Beach,SAFE,50,1,4,2,0.952,0.9803921568627451,0.9259259259259259,0.9122807017543859
Charteris Bay Paradise Beach,PRECAUTIONARY,0,2,0,55,0.0,0.0,0.0,0.9649122807017544
Charteris Bay Paradise Beach,EXCEEDANCE,2,2,1,52,0.571,0.5,0.6666666666666666,0.9473684210526315
Church Bay Beach,SAFE,48,2,4,5,0.941,0.96,0.9230769230769231,0.8983050847457628
Church Bay Beach,PRECAUTIONARY,0,4,3,52,0.0,0.0,0.0,0.8813559322033898
Church Bay Beach,EXCEEDANCE,3,2,1,53,0.667,0.6,0.75,0.9491525423728814
Corsair Bay Beach,SAFE,60,7,9,9,0.882,0.8955223880597015,0.8695652173913043,0.8117647058823529
Corsair Bay Beach,PRECAUTIONARY,0,5,3,77,0.0,0.0,0.0,0.9058823529411765
Corsair Bay Beach,EXCEEDANCE,8,5,5,67,0.615,0.6153846153846154,0.6153846153846154,0.8823529411764706
Diamond Harbour Beach,SAFE,54,2,4,11,0.947,0.9642857142857143,0.9310344827586207,0.9154929577464789
Diamond Harbour Beach,PRECAUTIONARY,1,0,3,67,0.4,1.0,0.25,0.9577464788732394
Diamond Harbour Beach,EXCEEDANCE,8,6,1,56,0.696,0.5714285714285714,0.8888888888888888,0.9014084507042254
Duvauchelle Bay by camping ground,SAFE,57,2,5,9,0.942,0.9661016949152542,0.9193548387096774,0.9041095890410958
Duvauchelle Bay by camping ground,PRECAUTIONARY,0,2,3,68,0.0,0.0,0.0,0.9315068493150684
Duvauchelle Bay by camping ground,EXCEEDANCE,7,5,1,60,0.7,0.5833333333333334,0.875,0.9178082191780822
French Farm Bay,SAFE,44,1,6,3,0.926,0.9777777777777777,0.88,0.8703703703703703
French Farm Bay,PRECAUTIONARY,1,4,2,47,0.25,0.2,0.3333333333333333,0.8888888888888888
French Farm Bay,EXCEEDANCE,1,3,0,50,0.4,0.25,1.0,0.9444444444444444
Glen Bay boat ramp,SAFE,59,0,8,5,0.937,1.0,0.8805970149253731,0.8888888888888888
Glen Bay boat ramp,PRECAUTIONARY,0,1,2,69,0.0,0.0,0.0,0.9583333333333334
Glen Bay boat ramp,EXCEEDANCE,3,9,0,60,0.4,0.25,1.0,0.875
Governors Bay Sandy Beach,SAFE,39,8,9,5,0.821,0.8297872340425532,0.8125,0.7213114754098361
Governors Bay Sandy Beach,PRECAUTIONARY,1,5,1,54,0.25,0.16666666666666666,0.5,0.9016393442622951
Governors Bay Sandy Beach,EXCEEDANCE,4,4,7,46,0.421,0.5,0.36363636363636365,0.819672131147541
Purau Bay Beach,SAFE,72,4,8,6,0.923,0.9473684210526315,0.9,0.8666666666666667
Purau Bay Beach,PRECAUTIONARY,0,6,0,84,0.0,0.0,0.0,0.9333333333333333
Purau Bay Beach,EXCEEDANCE,4,4,6,76,0.444,0.5,0.4,0.8888888888888888
Rapaki Bay Beach,SAFE,56,7,8,9,0.882,0.8888888888888888,0.875,0.8125
Rapaki Bay Beach,PRECAUTIONARY,1,6,5,68,0.154,0.14285714285714285,0.16666666666666666,0.8625
Rapaki Bay Beach,EXCEEDANCE,6,4,4,66,0.6,0.6,0.6,0.9
Takamatua Bay Boat ramp,SAFE,43,2,6,4,0.915,0.9555555555555556,0.8775510204081632,0.8545454545454545
Takamatua Bay Boat ramp,PRECAUTIONARY,1,3,3,48,0.25,0.25,0.25,0.8909090909090909
Takamatua Bay Boat ramp,EXCEEDANCE,2,4,0,49,0.5,0.3333333333333333,1.0,0.9272727272727272
Tikao Bay mid beach,SAFE,53,3,2,11,0.955,0.9464285714285714,0.9636363636363636,0.927536231884058
Tikao Bay mid beach,PRECAUTIONARY,0,1,3,65,0.0,0.0,0.0,0.9420289855072463
Tikao Bay mid beach,EXCEEDANCE,9,3,2,55,0.783,0.75,0.8181818181818182,0.927536231884058
Wainui Beach Wainui Beach,SAFE,53,6,9,6,0.876,0.8983050847457628,0.8548387096774194,0.7972972972972973
Wainui Beach Wainui Beach,PRECAUTIONARY,0,3,7,64,0.0,0.0,0.0,0.8648648648648649
Wainui Beach Wainui Beach,EXCEEDANCE,3,9,2,60,0.353,0.25,0.6,0.8513513513513513
