SITE_NAME,CLASS,TP,FP,FN,TN,F1,Precision,Recall,Accuracy
OVERALL,SAFE,806,58,90,93,0.916,0.9328703703703703,0.8995535714285714,0.8586437440305635
OVERALL,PRECAUTIONARY,8,47,43,949,0.151,0.14545454545454545,0.1568627450980392,0.9140401146131805
OVERALL,EXCEEDANCE,60,68,40,879,0.526,0.46875,0.6,0.8968481375358166
Akaroa at main beach,SAFE,59,4,4,6,0.937,0.9365079365079365,0.9365079365079365,0.8904109589041096
Akaroa at main beach,PRECAUTIONARY,1,2,3,67,0.286,0.3333333333333333,0.25,0.9315068493150684
Akaroa at main beach,EXCEEDANCE,3,4,3,63,0.462,0.42857142857142855,0.5,0.9041095890410958
Cass Bay at boat ramp,SAFE,55,9,8,2,0.866,0.859375,0.873015873015873,0.7702702702702703
Cass Bay at boat ramp,PRECAUTIONARY,0,3,7,64,0.0,0.0,0.0,0.8648648648648649
Cass Bay at boat ramp,EXCEEDANCE,1,6,3,64,0.182,0.14285714285714285,0.25,0.8783783783783784
Charteris Bay Paradise Beach,SAFE,49,1,5,2,0.942,0.98,0.9074074074074074,0.8947368421052632
Charteris Bay Paradise Beach,PRECAUTIONARY,0,2,0,55,0.0,0.0,0.0,0.9649122807017544
Charteris Bay Paradise Beach,EXCEEDANCE,2,3,1,51,0.5,0.4,0.6666666666666666,0.9298245614035088
Church Bay Beach,SAFE,47,2,5,5,0.931,0.9591836734693877,0.9038461538461539,0.8813559322033898
Church Bay Beach,PRECAUTIONARY,0,2,3,54,0.0,0.0,0.0,0.9152542372881356
Church Bay Beach,EXCEEDANCE,4,4,0,51,0.667,0.5,1.0,0.9322033898305084
Corsair Bay Beach,SAFE,61,6,8,10,0.897,0.9104477611940298,0.8840579710144928,0.8352941176470589
Corsair Bay Beach,PRECAUTIONARY,1,3,2,79,0.286,0.25,0.3333333333333333,0.9411764705882353
Corsair Bay Beach,EXCEEDANCE,9,5,4,67,0.667,0.6428571428571429,0.6923076923076923,0.8941176470588236
Diamond Harbour Beach,SAFE,48,2,10,11,0.889,0.96,0.8275862068965517,0.8309859154929577
Diamond Harbour Beach,PRECAUTIONARY,1,4,3,63,0.222,0.2,0.25,0.9014084507042254
Diamond Harbour Beach,EXCEEDANCE,8,8,1,54,0.64,0.5,0.8888888888888888,0.8732394366197183
Duvauchelle Bay by camping ground,SAFE,60,4,2,7,0.952,0.9375,0.967741935483871,0.9178082191780822
Duvauchelle Bay by camping ground,PRECAUTIONARY,0,3,3,67,0.0,0.0,0.0,0.9178082191780822
Duvauchelle Bay by camping ground,EXCEEDANCE,3,3,5,62,0.429,0.5,0.375,0.8904109589041096
French Farm Bay,SAFE,48,0,2,4,0.98,1.0,0.96,0.9629629629629629
French Farm Bay,PRECAUTIONARY,0,1,3,50,0.0,0.0,0.0,0.9259259259259259
French Farm Bay,EXCEEDANCE,1,4,0,49,0.333,0.2,1.0,0.9259259259259259
Glen Bay boat ramp,SAFE,63,0,4,5,0.969,1.0,0.9402985074626866,0.9444444444444444
Glen Bay boat ramp,PRECAUTIONARY,0,3,2,67,0.0,0.0,0.0,0.9305555555555556
Glen Bay boat ramp,EXCEEDANCE,2,4,1,65,0.444,0.3333333333333333,0.6666666666666666,0.9305555555555556
Governors Bay Sandy Beach,SAFE,38,8,10,5,0.809,0.8260869565217391,0.7916666666666666,0.7049180327868853
Governors Bay Sandy Beach,PRECAUTIONARY,0,6,2,53,0.0,0.0,0.0,0.8688524590163934
Governors Bay Sandy Beach,EXCEEDANCE,4,5,7,45,0.4,0.4444444444444444,0.36363636363636365,0.8032786885245902
Purau Bay Beach,SAFE,71,5,9,5,0.91,0.9342105263157895,0.8875,0.8444444444444444
Purau Bay Beach,PRECAUTIONARY,0,3,0,87,0.0,0.0,0.0,0.9666666666666667
Purau Bay Beach,EXCEEDANCE,5,6,5,74,0.476,0.45454545454545453,0.5,0.8777777777777778
Rapaki Bay Beach,SAFE,53,6,11,10,0.862,0.8983050847457628,0.828125,0.7875
Rapaki Bay Beach,PRECAUTIONARY,2,5,4,69,0.308,0.2857142857142857,0.3333333333333333,0.8875
Rapaki Bay Beach,EXCEEDANCE,7,7,3,63,0.583,0.5,0.7,0.875
Takamatua Bay Boat ramp,SAFE,45,2,4,4,0.938,0.9574468085106383,0.9183673469387755,0.8909090909090909
Takamatua Bay Boat ramp,PRECAUTIONARY,2,2,2,49,0.5,0.5,0.5,0.9272727272727272
Takamatua Bay Boat ramp,EXCEEDANCE,1,3,1,50,0.333,0.25,0.5,0.9272727272727272
Tikao Bay mid beach,SAFE,52,2,3,12,0.954,0.9629629629629629,0.9454545454545454,0.927536231884058
Tikao Bay mid beach,PRECAUTIONARY,1,5,2,61,0.222,0.16666666666666666,0.3333333333333333,0.8985507246376812
Tikao Bay mid beach,EXCEEDANCE,8,1,3,57,0.8,0.8888888888888888,0.7272727272727273,0.9420289855072463
Wainui Beach Wainui Beach,SAFE,57,7,5,5,0.905,0.890625,0.9193548387096774,0.8378378378378378
Wainui Beach Wainui Beach,PRECAUTIONARY,0,3,7,64,0.0,0.0,0.0,0.8648648648648649
Wainui Beach Wainui Beach,EXCEEDANCE,2,5,3,64,0.333,0.2857142857142857,0.4,0.8918918918918919
