SITE_NAME,Season,n_exceedances
Akaroa at main beach,2013-2014,0
Akaroa at main beach,2014-2015,0
Akaroa at main beach,2015-2016,0
Akaroa at main beach,2016-2017,0
Akaroa at main beach,2017-2018,1
Akaroa at main beach,2018-2019,1
Akaroa at main beach,2019-2020,1
Akaroa at main beach,2020-2021,0
Akaroa at main beach,2021-2022,3
Akaroa at main beach,2022-2023,3
Akaroa at main beach,2023-2024,0
Caroline Bay - mid beach,2013-2014,0
Caroline Bay - mid beach,2014-2015,0
Caroline Bay - mid beach,2015-2016,2
Caroline Bay - mid beach,2016-2017,0
Caroline Bay - mid beach,2017-2018,0
Caroline Bay - mid beach,2018-2019,3
Caroline Bay - mid beach,2019-2020,0
Caroline Bay - mid beach,2020-2021,1
Caroline Bay - mid beach,2021-2022,0
Caroline Bay - mid beach,2022-2023,0
Caroline Bay - mid beach,2023-2024,1
Cass Bay at boat ramp,2013-2014,0
Cass Bay at boat ramp,2014-2015,1
Cass Bay at boat ramp,2015-2016,0
Cass Bay at boat ramp,2016-2017,0
Cass Bay at boat ramp,2017-2018,2
Cass Bay at boat ramp,2018-2019,0
Cass Bay at boat ramp,2019-2020,0
Cass Bay at boat ramp,2020-2021,0
Cass Bay at boat ramp,2021-2022,2
Cass Bay at boat ramp,2022-2023,2
Cass Bay at boat ramp,2023-2024,0
Charteris Bay Paradise Beach,2013-2014,0
Charteris Bay Paradise Beach,2014-2015,0
Charteris Bay Paradise Beach,2015-2016,0
Charteris Bay Paradise Beach,2016-2017,0
Charteris Bay Paradise Beach,2017-2018,1
Charteris Bay Paradise Beach,2018-2019,0
Charteris Bay Paradise Beach,2019-2020,1
Charteris Bay Paradise Beach,2020-2021,0
Charteris Bay Paradise Beach,2021-2022,1
Charteris Bay Paradise Beach,2022-2023,2
Charteris Bay Paradise Beach,2023-2024,0
Church Bay Beach,2013-2014,0
Church Bay Beach,2014-2015,0
Church Bay Beach,2015-2016,0
Church Bay Beach,2016-2017,1
Church Bay Beach,2017-2018,2
Church Bay Beach,2018-2019,1
Church Bay Beach,2019-2020,1
Church Bay Beach,2020-2021,0
Church Bay Beach,2021-2022,2
Church Bay Beach,2022-2023,2
Church Bay Beach,2023-2024,0
Corsair Bay Beach,2013-2014,0
Corsair Bay Beach,2014-2015,1
Corsair Bay Beach,2015-2016,0
Corsair Bay Beach,2016-2017,0
Corsair Bay Beach,2017-2018,2
Corsair Bay Beach,2018-2019,1
Corsair Bay Beach,2019-2020,2
Corsair Bay Beach,2020-2021,1
Corsair Bay Beach,2021-2022,1
Corsair Bay Beach,2022-2023,5
Corsair Bay Beach,2023-2024,7
Diamond Harbour Beach,2013-2014,1
Diamond Harbour Beach,2014-2015,0
Diamond Harbour Beach,2015-2016,0
Diamond Harbour Beach,2016-2017,1
Diamond Harbour Beach,2017-2018,1
Diamond Harbour Beach,2018-2019,1
Diamond Harbour Beach,2019-2020,1
Diamond Harbour Beach,2020-2021,1
Diamond Harbour Beach,2021-2022,2
Diamond Harbour Beach,2022-2023,3
Diamond Harbour Beach,2023-2024,4
Duvauchelle Bay by camping ground,2013-2014,0
Duvauchelle Bay by camping ground,2014-2015,0
Duvauchelle Bay by camping ground,2015-2016,0
Duvauchelle Bay by camping ground,2016-2017,0
Duvauchelle Bay by camping ground,2017-2018,0
Duvauchelle Bay by camping ground,2018-2019,1
Duvauchelle Bay by camping ground,2019-2020,1
Duvauchelle Bay by camping ground,2020-2021,0
Duvauchelle Bay by camping ground,2021-2022,1
Duvauchelle Bay by camping ground,2022-2023,3
Duvauchelle Bay by camping ground,2023-2024,4
French Farm Bay,2013-2014,0
French Farm Bay,2014-2015,0
French Farm Bay,2015-2016,0
French Farm Bay,2016-2017,0
French Farm Bay,2017-2018,0
French Farm Bay,2018-2019,1
French Farm Bay,2019-2020,0
French Farm Bay,2020-2021,0
French Farm Bay,2021-2022,0
French Farm Bay,2022-2023,1
French Farm Bay,2023-2024,0
Glen Bay boat ramp,2013-2014,0
Glen Bay boat ramp,2014-2015,0
Glen Bay boat ramp,2015-2016,0
Glen Bay boat ramp,2016-2017,0
Glen Bay boat ramp,2017-2018,1
Glen Bay boat ramp,2018-2019,0
Glen Bay boat ramp,2019-2020,1
Glen Bay boat ramp,2020-2021,2
Glen Bay boat ramp,2021-2022,0
Glen Bay boat ramp,2022-2023,3
Glen Bay boat ramp,2023-2024,0
Governors Bay Sandy Beach,2013-2014,0
Governors Bay Sandy Beach,2014-2015,0
Governors Bay Sandy Beach,2015-2016,0
Governors Bay Sandy Beach,2016-2017,0
Governors Bay Sandy Beach,2017-2018,2
Governors Bay Sandy Beach,2018-2019,2
Governors Bay Sandy Beach,2019-2020,3
Governors Bay Sandy Beach,2020-2021,0
Governors Bay Sandy Beach,2021-2022,6
Governors Bay Sandy Beach,2022-2023,2
Governors Bay Sandy Beach,2023-2024,3
Purau Bay Beach,2013-2014,2
Purau Bay Beach,2014-2015,0
Purau Bay Beach,2015-2016,0
Purau Bay Beach,2016-2017,0
Purau Bay Beach,2017-2018,1
Purau Bay Beach,2018-2019,0
Purau Bay Beach,2019-2020,0
Purau Bay Beach,2020-2021,0
Purau Bay Beach,2021-2022,5
Purau Bay Beach,2022-2023,2
Purau Bay Beach,2023-2024,3
Rapaki Bay Beach,2013-2014,0
Rapaki Bay Beach,2014-2015,0
Rapaki Bay Beach,2015-2016,0
Rapaki Bay Beach,2016-2017,1
Rapaki Bay Beach,2017-2018,1
Rapaki Bay Beach,2018-2019,0
Rapaki Bay Beach,2019-2020,2
Rapaki Bay Beach,2020-2021,1
Rapaki Bay Beach,2021-2022,3
Rapaki Bay Beach,2022-2023,3
Rapaki Bay Beach,2023-2024,4
Scarborough Beach by clock tower,2013-2014,0
Scarborough Beach by clock tower,2014-2015,0
Scarborough Beach by clock tower,2015-2016,0
Scarborough Beach by clock tower,2016-2017,1
Scarborough Beach by clock tower,2017-2018,2
Scarborough Beach by clock tower,2018-2019,3
Scarborough Beach by clock tower,2019-2020,0
Scarborough Beach by clock tower,2020-2021,0
Scarborough Beach by clock tower,2021-2022,4
Scarborough Beach by clock tower,2022-2023,0
Scarborough Beach by clock tower,2023-2024,2
Sumner Beach Surf club,2013-2014,0
Sumner Beach Surf club,2014-2015,0
Sumner Beach Surf club,2015-2016,0
Sumner Beach Surf club,2016-2017,0
Sumner Beach Surf club,2017-2018,1
Sumner Beach Surf club,2018-2019,1
Sumner Beach Surf club,2019-2020,0
Sumner Beach Surf club,2020-2021,0
Sumner Beach Surf club,2021-2022,0
Sumner Beach Surf club,2022-2023,0
Sumner Beach Surf club,2023-2024,0
Takamatua Bay Boat ramp,2013-2014,0
Takamatua Bay Boat ramp,2014-2015,0
Takamatua Bay Boat ramp,2015-2016,0
Takamatua Bay Boat ramp,2016-2017,0
Takamatua Bay Boat ramp,2017-2018,1
Takamatua Bay Boat ramp,2018-2019,2
Takamatua Bay Boat ramp,2019-2020,4
Takamatua Bay Boat ramp,2020-2021,1
Takamatua Bay Boat ramp,2021-2022,0
Takamatua Bay Boat ramp,2022-2023,0
Takamatua Bay Boat ramp,2023-2024,2
Taylors Mistake Beach Surf club,2013-2014,0
Taylors Mistake Beach Surf club,2014-2015,0
