Experiment,Description,Sensitivity,Specificity,TP,FP,TN,FN,RMSE,RMSE_Safe,RMSE_Exceed
exp_006_combined_moderate,min_leaf=10 + reg_lambda=1.2 + max_depth=5 for stronger FP reduction,0.6824324324324325,0.9065981148243359,101,109,1058,47,722.0845289300638,358.4147760220708,1902.5850373437515
exp_007_combined_aggressive,All changes combined for maximum FP reduction,0.6824324324324325,0.9065981148243359,101,109,1058,47,722.0845289300638,358.4147760220708,1902.5850373437515
exp_003_max_depth,Test max_depth=5 to limit model complexity and reduce overfitting,0.722972972972973,0.8911739502999143,107,127,1040,41,692.863911601694,315.5098579078283,1865.6002131768225
exp_008_min_leaf_15,Test min_data_in_leaf=15 for stronger regularization,0.6891891891891891,0.8911739502999143,102,127,1040,46,771.9543023177733,413.3885076644802,1986.776354747505
exp_009_reg_lambda_15,Test reg_lambda=1.5 for maximum smoothing,0.7094594594594594,0.8851756640959726,105,134,1033,43,684.5067320046574,311.54650869168427,1843.3080134455101
exp_005_combined_light,Combine min_leaf=10 + reg_lambda=1.2 for balanced FP reduction,0.6891891891891891,0.8851756640959726,102,134,1033,46,733.0063030453302,384.16451149702084,1900.0685585070416
baseline,"Current Round 1 settings - 73% sensitivity, 88.4% specificity",0.7297297297297297,0.884318766066838,108,135,1032,40,685.9273426476269,309.18371534928775,1851.1205463251245
exp_004_scale_weight,Test scale_pos_weight=1.5 to reduce overconfident exceedance predictions,0.7297297297297297,0.884318766066838,108,135,1032,40,685.9273426476269,309.18371534928775,1851.1205463251245
exp_002_reg_lambda,Test reg_lambda=1.2 to smooth predictions and reduce extreme FPs,0.7162162162162162,0.869751499571551,106,152,1015,42,687.4823468179469,307.05047607618496,1859.0289095348912
exp_001_min_leaf,Test min_data_in_leaf=10 to reduce FPs by requiring more samples per leaf,0.722972972972973,0.8680377035132819,107,154,1013,41,732.3975737832903,378.40320710391654,1907.0860271274773
