SITE_NAME,Season,n_rows
Akaroa at main beach,2013-2014,16
Akaroa at main beach,2014-2015,16
Akaroa at main beach,2015-2016,15
Akaroa at main beach,2016-2017,15
Akaroa at main beach,2017-2018,15
Akaroa at main beach,2018-2019,16
Akaroa at main beach,2019-2020,19
Akaroa at main beach,2020-2021,15
Akaroa at main beach,2021-2022,17
Akaroa at main beach,2022-2023,23
Akaroa at main beach,2023-2024,33
Caroline Bay - mid beach,2013-2014,18
Caroline Bay - mid beach,2014-2015,24
Caroline Bay - mid beach,2015-2016,17
Caroline Bay - mid beach,2016-2017,15
Caroline Bay - mid beach,2017-2018,16
Caroline Bay - mid beach,2018-2019,23
Caroline Bay - mid beach,2019-2020,23
Caroline Bay - mid beach,2020-2021,24
Caroline Bay - mid beach,2021-2022,28
Caroline Bay - mid beach,2022-2023,24
Caroline Bay - mid beach,2023-2024,32
Cass Bay at boat ramp,2013-2014,15
Cass Bay at boat ramp,2014-2015,16
Cass Bay at boat ramp,2015-2016,15
Cass Bay at boat ramp,2016-2017,15
Cass Bay at boat ramp,2017-2018,16
Cass Bay at boat ramp,2018-2019,16
Cass Bay at boat ramp,2019-2020,16
Cass Bay at boat ramp,2020-2021,15
Cass Bay at boat ramp,2021-2022,19
Cass Bay at boat ramp,2022-2023,30
Cass Bay at boat ramp,2023-2024,25
Charteris Bay Paradise Beach,2013-2014,14
Charteris Bay Paradise Beach,2014-2015,15
Charteris Bay Paradise Beach,2015-2016,15
Charteris Bay Paradise Beach,2016-2017,15
Charteris Bay Paradise Beach,2017-2018,16
Charteris Bay Paradise Beach,2018-2019,16
Charteris Bay Paradise Beach,2019-2020,16
Charteris Bay Paradise Beach,2020-2021,15
Charteris Bay Paradise Beach,2021-2022,16
Charteris Bay Paradise Beach,2022-2023,18
Charteris Bay Paradise Beach,2023-2024,23
Church Bay Beach,2013-2014,15
Church Bay Beach,2014-2015,15
Church Bay Beach,2015-2016,15
Church Bay Beach,2016-2017,16
Church Bay Beach,2017-2018,17
Church Bay Beach,2018-2019,16
Church Bay Beach,2019-2020,17
Church Bay Beach,2020-2021,15
Church Bay Beach,2021-2022,16
Church Bay Beach,2022-2023,18
Church Bay Beach,2023-2024,25
Corsair Bay Beach,2013-2014,15
Corsair Bay Beach,2014-2015,16
Corsair Bay Beach,2015-2016,17
Corsair Bay Beach,2016-2017,17
Corsair Bay Beach,2017-2018,16
Corsair Bay Beach,2018-2019,16
Corsair Bay Beach,2019-2020,18
Corsair Bay Beach,2020-2021,16
Corsair Bay Beach,2021-2022,16
Corsair Bay Beach,2022-2023,34
Corsair Bay Beach,2023-2024,35
Diamond Harbour Beach,2013-2014,18
Diamond Harbour Beach,2014-2015,15
Diamond Harbour Beach,2015-2016,15
Diamond Harbour Beach,2016-2017,16
Diamond Harbour Beach,2017-2018,17
Diamond Harbour Beach,2018-2019,16
Diamond Harbour Beach,2019-2020,16
Diamond Harbour Beach,2020-2021,16
Diamond Harbour Beach,2021-2022,16
Diamond Harbour Beach,2022-2023,24
Diamond Harbour Beach,2023-2024,31
Duvauchelle Bay by camping ground,2013-2014,15
Duvauchelle Bay by camping ground,2014-2015,15
Duvauchelle Bay by camping ground,2015-2016,15
Duvauchelle Bay by camping ground,2016-2017,15
Duvauchelle Bay by camping ground,2017-2018,15
Duvauchelle Bay by camping ground,2018-2019,16
Duvauchelle Bay by camping ground,2019-2020,16
Duvauchelle Bay by camping ground,2020-2021,15
Duvauchelle Bay by camping ground,2021-2022,17
Duvauchelle Bay by camping ground,2022-2023,23
Duvauchelle Bay by camping ground,2023-2024,33
French Farm Bay,2013-2014,15
French Farm Bay,2014-2015,15
French Farm Bay,2015-2016,15
French Farm Bay,2016-2017,15
French Farm Bay,2017-2018,15
French Farm Bay,2018-2019,16
French Farm Bay,2019-2020,16
French Farm Bay,2020-2021,15
French Farm Bay,2021-2022,16
French Farm Bay,2022-2023,17
French Farm Bay,2023-2024,21
Glen Bay boat ramp,2013-2014,15
Glen Bay boat ramp,2014-2015,15
Glen Bay boat ramp,2015-2016,16
Glen Bay boat ramp,2016-2017,15
Glen Bay boat ramp,2017-2018,15
Glen Bay boat ramp,2018-2019,16
Glen Bay boat ramp,2019-2020,16
Glen Bay boat ramp,2020-2021,18
Glen Bay boat ramp,2021-2022,16
Glen Bay boat ramp,2022-2023,23
Glen Bay boat ramp,2023-2024,33
Governors Bay Sandy Beach,2013-2014,16
Governors Bay Sandy Beach,2014-2015,16
Governors Bay Sandy Beach,2015-2016,15
Governors Bay Sandy Beach,2016-2017,16
Governors Bay Sandy Beach,2017-2018,16
Governors Bay Sandy Beach,2018-2019,18
Governors Bay Sandy Beach,2019-2020,19
Governors Bay Sandy Beach,2020-2021,15
Governors Bay Sandy Beach,2021-2022,16
Governors Bay Sandy Beach,2022-2023,18
Governors Bay Sandy Beach,2023-2024,27
Purau Bay Beach,2013-2014,17
Purau Bay Beach,2014-2015,15
Purau Bay Beach,2015-2016,16
Purau Bay Beach,2016-2017,15
Purau Bay Beach,2017-2018,17
Purau Bay Beach,2018-2019,15
Purau Bay Beach,2019-2020,15
Purau Bay Beach,2020-2021,15
Purau Bay Beach,2021-2022,19
Purau Bay Beach,2022-2023,24
Purau Bay Beach,2023-2024,47
Rapaki Bay Beach,2013-2014,15
Rapaki Bay Beach,2014-2015,16
Rapaki Bay Beach,2015-2016,15
Rapaki Bay Beach,2016-2017,16
Rapaki Bay Beach,2017-2018,16
Rapaki Bay Beach,2018-2019,16
Rapaki Bay Beach,2019-2020,20
Rapaki Bay Beach,2020-2021,17
Rapaki Bay Beach,2021-2022,19
Rapaki Bay Beach,2022-2023,25
Rapaki Bay Beach,2023-2024,36
Scarborough Beach by clock tower,2013-2014,20
Scarborough Beach by clock tower,2014-2015,21
Scarborough Beach by clock tower,2015-2016,24
Scarborough Beach by clock tower,2016-2017,21
Scarborough Beach by clock tower,2017-2018,20
Scarborough Beach by clock tower,2018-2019,22
Scarborough Beach by clock tower,2019-2020,19
Scarborough Beach by clock tower,2020-2021,21
Scarborough Beach by clock tower,2021-2022,34
Scarborough Beach by clock tower,2022-2023,25
Scarborough Beach by clock tower,2023-2024,27
Sumner Beach Surf club,2013-2014,15
Sumner Beach Surf club,2014-2015,15
Sumner Beach Surf club,2015-2016,15
Sumner Beach Surf club,2016-2017,15
Sumner Beach Surf club,2017-2018,16
Sumner Beach Surf club,2018-2019,18
Sumner Beach Surf club,2019-2020,15
Sumner Beach Surf club,2020-2021,15
Sumner Beach Surf club,2021-2022,19
Sumner Beach Surf club,2022-2023,14
Sumner Beach Surf club,2023-2024,15
Takamatua Bay Boat ramp,2013-2014,15
Takamatua Bay Boat ramp,2014-2015,15
Takamatua Bay Boat ramp,2015-2016,16
Takamatua Bay Boat ramp,2016-2017,15
Takamatua Bay Boat ramp,2017-2018,16
Takamatua Bay Boat ramp,2018-2019,18
Takamatua Bay Boat ramp,2019-2020,20
Takamatua Bay Boat ramp,2020-2021,16
Takamatua Bay Boat ramp,2021-2022,18
Takamatua Bay Boat ramp,2022-2023,16
Takamatua Bay Boat ramp,2023-2024,21
Taylors Mistake Beach Surf club,2013-2014,15
Taylors Mistake Beach Surf club,2014-2015,15
Taylors Mistake Beach Surf club,2015-2016,15
Taylors Mistake Beach Surf club,2016-2017,15
Taylors Mistake Beach Surf club,2017-2018,16
Taylors Mistake Beach Surf club,2018-2019,16
Taylors Mistake Beach Surf club,2019-2020,15
Taylors Mistake Beach Surf club,2020-2021,15
Taylors Mistake Beach Surf club,2021-2022,20
Taylors Mistake Beach Surf club,2022-2023,14
Taylors Mistake Beach Surf club,2023-2024,15
Tikao Bay mid beach,2013-2014,15
Tikao Bay mid beach,2014-2015,15
