SITE_NAME,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024
Akaroa at main beach,16,16,15,15,15,16,19,15,17,23,33
Caroline Bay - mid beach,18,24,17,15,16,23,23,24,28,24,32
Cass Bay at boat ramp,15,16,15,15,16,16,16,15,19,30,25
Charteris Bay Paradise Beach,14,15,15,15,16,16,16,15,16,18,23
Church Bay Beach,15,15,15,16,17,16,17,15,16,18,25
Corsair Bay Beach,15,16,17,17,16,16,18,16,16,34,35
Diamond Harbour Beach,18,15,15,16,17,16,16,16,16,24,31
Duvauchelle Bay by camping ground,15,15,15,15,15,16,16,15,17,23,33
French Farm Bay,15,15,15,15,15,16,16,15,16,17,21
Glen Bay boat ramp,15,15,16,15,15,16,16,18,16,23,33
Governors Bay Sandy Beach,16,16,15,16,16,18,19,15,16,18,27
Purau Bay Beach,17,15,16,15,17,15,15,15,19,24,47
Rapaki Bay Beach,15,16,15,16,16,16,20,17,19,25,36
Scarborough Beach by clock tower,20,21,24,21,20,22,19,21,34,25,27
Sumner Beach Surf club,15,15,15,15,16,18,15,15,19,14,15
Takamatua Bay Boat ramp,15,15,16,15,16,18,20,16,18,16,21
Taylors Mistake Beach Surf club,15,15,15,15,16,16,15,15,20,14,15
Tikao Bay mid beach,15,15,15,15,15,21,16,16,18,17,34
Timaru Coast Caroline Bay at Virtue Avenue,16,16,17,16,16,22,15,21,17,14,22
Timaru Coast at yacht club jetty,15,15,17,15,15,20,15,19,17,14,22
Wainui Beach Wainui Beach,15,15,15,15,15,18,16,15,17,23,34
