q_0.2,q_0.35,q_0.5,q_0.6,q_0.7,q_0.75,q_0.8,q_0.85,q_0.9,q_0.925,q_0.95,q_0.975,predictions,prob_exceed_280,risk_label
5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0,50.0,7.0,0.0,SAFE
6.0,8.0,10.0,15.0,15.0,23.0,23.0,23.0,27.0,35.0,35.0,81.0,23.0,0.0,SAFE
5.0,5.0,15.0,27.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,66.0,54.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,24.0,107.0,10.0,0.0,SAFE
10.0,12.0,12.0,12.0,12.0,19.0,19.0,19.0,19.0,140.0,140.0,243.0,19.0,0.0,SAFE
15.0,65.0,65.0,158.0,158.0,158.0,158.0,187.0,187.0,187.0,187.0,347.0,158.0,0.03546875000000005,SAFE
5.0,6.0,10.0,10.0,16.0,16.0,31.0,133.0,146.0,152.0,152.0,152.0,24.0,0.0,SAFE
5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,11.0,26.0,26.0,80.0,7.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,8.0,8.0,8.0,16.0,16.0,41.0,143.0,8.0,0.0,SAFE
5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,29.0,29.0,29.0,130.0,6.0,0.0,SAFE
5.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,22.0,22.0,83.0,156.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,10.0,10.0,10.0,20.0,20.0,67.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,8.0,8.0,28.0,35.0,35.0,35.0,53.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,24.0,7.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,6.0,16.0,16.0,16.0,16.0,41.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,9.0,53.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,12.0,12.0,18.0,18.0,18.0,18.0,57.0,12.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,15.0,47.0,47.0,47.0,47.0,47.0,47.0,31.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,8.0,16.0,41.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,7.0,11.0,11.0,11.0,11.0,17.0,54.0,9.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,60.0,6.0,0.0,SAFE
5.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,13.0,42.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,12.0,12.0,12.0,12.0,17.0,48.0,9.0,0.0,SAFE
5.0,5.0,6.0,7.0,13.0,15.0,44.0,44.0,44.0,44.0,48.0,66.0,30.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10.0,60.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,14.0,14.0,43.0,6.0,0.0,SAFE
6.0,11.0,27.0,49.0,49.0,49.0,49.0,54.0,54.0,62.0,62.0,115.0,49.0,0.0,SAFE
5.0,5.0,6.0,6.0,7.0,25.0,25.0,25.0,31.0,31.0,31.0,85.0,25.0,0.0,SAFE
5.0,5.0,5.0,5.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,43.0,14.0,0.0,SAFE
5.0,7.0,9.0,26.0,34.0,57.0,57.0,123.0,169.0,169.0,169.0,169.0,57.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,12.0,12.0,12.0,99.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,6.0,13.0,13.0,29.0,63.0,83.0,6.0,0.0,SAFE
5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,32.0,32.0,120.0,167.0,6.0,0.0,SAFE
5.0,5.0,6.0,6.0,7.0,7.0,7.0,27.0,42.0,42.0,53.0,89.0,7.0,0.0,SAFE
5.0,5.0,6.0,8.0,10.0,10.0,11.0,15.0,15.0,20.0,20.0,36.0,10.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,18.0,62.0,9.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,6.0,6.0,16.0,21.0,24.0,24.0,32.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,100.0,12.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,8.0,13.0,13.0,13.0,13.0,56.0,7.0,0.0,SAFE
5.0,5.0,6.0,6.0,8.0,8.0,10.0,10.0,13.0,13.0,13.0,39.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,7.0,11.0,13.0,13.0,16.0,43.0,6.0,0.0,SAFE
11.0,18.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,69.0,69.0,147.0,39.0,0.0,SAFE
5.0,5.0,5.0,5.0,6.0,6.0,18.0,19.0,19.0,19.0,19.0,77.0,12.0,0.0,SAFE
5.0,5.0,6.0,7.0,10.0,10.0,11.0,13.0,13.0,13.0,13.0,19.0,11.0,0.0,SAFE
5.0,5.0,7.0,8.0,9.0,17.0,17.0,44.0,44.0,123.0,123.0,123.0,17.0,0.0,SAFE
5.0,5.0,5.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,11.0,56.0,6.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,9.0,10.0,10.0,20.0,20.0,42.0,7.0,0.0,SAFE
5.0,5.0,5.0,6.0,6.0,6.0,9.0,61.0,61.0,61.0,62.0,115.0,8.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,12.0,32.0,32.0,32.0,32.0,32.0,58.0,22.0,0.0,SAFE
5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,10.0,60.0,5.0,0.0,SAFE
6.0,6.0,6.0,6.0,6.0,6.0,23.0,23.0,23.0,29.0,44.0,49.0,15.0,0.0,SAFE
